CAP-AU #,TIER I EVENTS,TIER II EVENTS,EVENT CODE,CAP CATEGORY VALUE,AUTHORITY TO MODIFY,(Can include associated Tier II events),(Can be included in Tier I event associated with it),"(4 to 12 characters, lower camel-hump style)",,
1,Administration,,admin,Other
2,Air Quality,,airQuality,Health
3,Animal Health,,animalHealth,Env
4,Animal Health,Animal Disease,animalDiseas,Env
5,Animal Health,Animal Feed,animalFeed,Env
6,Animal Health,Animal Pest,animalPest,Env
7,Animal Health,Aquatic Animal Disease,aqAnimalDiseas,Env
8,Animal Health,Aquatic Animal Pest,aqAnimalPest,Env
9,Animal Health,Animal Welfare,animalWelfar,Env
10,Animal Health,Marine Disease,marineDiseas,Env
11,Animal Health,Marine Pest,marinePest,Env
12,Animal Health,Animal Quarantine,aQuarantine,Env
13,Animal Health,Sheep Grazier Warning,sheepWarning,Met
14,Animals,Animal Attack,animalAttack,Env
15,Animals,Dangerous Animal,animalDanger,Env
16,Animals,Plague,plague,Env
17,Aviation,,aviation,Transport
18,Aviation,Aircraft Crash,aircraftCrsh,Transport
19,Aviation,Aircraft Incident,aircraft,Transport
20,Aviation,Airport Closure,airportClos,Transport
21,Aviation,Airspace Closure,airspaceClos,Transport
22,Aviation,Airport Lightning Threat,avLightning,Met
23,Aviation,Airport Thunder Threat,avThunder,Met
24,Aviation,Aviation Security,aviationSec,Transport
25,Aviation,Falling Object,fallObject,Transport
26,Aviation,Notice To Airmen,notam,Transport
27,Aviation,Satellite / Space Re-entry debris,spaceDebris,Transport
28,Civil,,civil,Security
29,Civil,Building Collapse,bldgCollapse,Infra
30,Civil,Civil Emergency,civilEmerg,Security
31,Civil,Demonstration,demonstratin,Security
32,Civil,Public Event,civilEvent,Security
33,Civil,Volunteer Request,volunteer,Other
34,Criminal Activity,,crime,Security
35,Criminal Activity,Cyber Crime,cyberCrime,Security
36,Criminal Activity,Dangerous Person,dangerPerson,Security
37,Criminal Activity,Terrorism,terrorism,Security
38,Fire,,fire,Fire
39,Fire,Bushfire,bushFire,Fire
40,Fire,Fire Ban,fireBan,Fire
41,Fire,Fire Danger Level,fireDangrLvl,Fire
42,Fire,Forest Fire,forestFire,Fire
43,Fire,Fire Weather,fireWeather,"Fire, Met"
44,Fire,Grass Fire,grassFire,Fire
45,Fire,Industrial Fire,industryFire,Fire
46,Fire,Smoke Alert,smoke,Fire
47,Fire,Structure Fire,structurFire,Fire
48,Fire,Total Fire Ban,TotalFireBan,Fire
49,Flood,,flood,Met
50,Flood,Dam Failure,damFailure,Infra
51,Flood,Flash Flood,flashFlood,Met
52,Flood,High Water Level,highWater,Met
53,Flood,King Tide,kingTide,Met
54,Flood,Levee Failure,leveeFailure,Infra
55,Flood,Storm Surge,stormSurge,Met
56,Flood,Riverine Flood,riverineflod,Met
57,Geological,,geologicalHaz,Geo
58,Geological,Avalanche,avalanche,Geo
59,Geological,Earthquake,earthquake,Geo
60,Geological,Karst Hazard,karst,Geo
61,Geological,Lahar,lahar,Geo
62,Geological,Landslide,landslide,Geo
63,Geological,Lava Flow,lavaFlow,Geo
64,Geological,Magnetic Storm,magnetcStorm,Geo
65,Geological,Meteorite,meteor,Geo
66,Geological,Pyroclastic Flow,pyroclasFlow,Geo
67,Geological,Pyroclastic Surge,pyroclaSurge,Geo
68,Geological,Tsunami,tsunami,Geo
69,Geological,Volcanic Ash Cloud,volcanicAsh,Geo
70,Geological,Volcano,volcano,Geo
71,Hazardous Materials,,hazmat,CBRNE
72,Hazardous Materials,Asbestos,asbestos,Health
73,Hazardous Materials,Biological Hazard,biological,CBRNE
74,Hazardous Materials,Chemical Hazard,chemical,CBRNE
75,Hazardous Materials,Explosive Hazard,explosive,CBRNE
76,Hazardous Materials,Major Pollution,pollution,Health
77,Hazardous Materials,Radiological Hazard,radiological,CBRNE
78,Hazardous Materials,Toxic Plume,toxicPlume,CBRNE
79,Health,,health,Health
80,Health,Ambulance,ambulance,Health
81,Health,Blood Supply,bloodSupply,Health
82,Health,Communicable Disease,communicable,Health
83,Health,Drinking Water,drinkingWate,Health
84,Health,Drug Safety,drugSafety,Health
85,Health,Drug Supply,drugSupply,Health
86,Health,Food Safety,foodSafety,Health
87,Health,Food Supply,foodSupply,Health
88,Health,Hospital,hospital,Health
89,Health,Human Quarantine,hQuarantine,Health
90,Health,Zoonotic Disease,zoonoticDis,"Health, Env"
91,Marine,,marine,Met
92,Marine,Freezing Spray,freezngSpray,Met
93,Marine,Gale Wind,galeWind,Met
94,Marine,Hurricane Force Wind,HurricFrcWnd,Met
95,Marine,Iceberg,iceberg,Met
96,Marine,Large Coastal Surf,largeSurf,Met
97,Marine,Large Swell Waves,largeSwell,Met
98,Marine,Maritime / Marine Security,maritimeSec,Transport
99,Marine,Nautical Incident,nautical,Transport
100,Marine,Oil Spill,oilSpill,Transport
101,Marine,Squall,squall,Met
102,Marine,Storm Force Wind,stormFrcWind,Met
103,Marine,Strong Wind,strongWind,Met
104,Marine,Waterspout,waterspout,Met
105,Missing Person,,missingPer,Security
106,Missing Person,Missing Vulnerable Person,missingVPer,Security
